Path,SceneName,Exists,InBuildSettings,BuildEnabled,SettingsOrder,RuntimeBuildIndex,FileKB,ArtDependencies,ScriptDependencies
Assets/Scenes/CafeInterior_Temporary.unity,CafeInterior_Temporary,Yes,Yes,Yes,8,8,50.7,107,5
Assets/Scenes/HubMap_Day.unity,HubMap_Day,Yes,Yes,Yes,7,7,33.8,27,5
Assets/Scenes/LeftRoute_Prototype.unity,LeftRoute_Prototype,Yes,No,No,-1,-1,198.4,28,0
Assets/Scenes/Level_01_NightShrinePath.unity,Level_01_NightShrinePath,Yes,Yes,Yes,6,6,270.4,8,15
Assets/Scenes/NightApproach.unity,NightApproach,Yes,Yes,Yes,2,2,84.5,7,7
Assets/Scenes/NightMap.unity,NightMap,Yes,No,No,-1,-1,4.6,0,0
Assets/Scenes/Result.unity,Result,Yes,No,No,-1,-1,4.6,0,0
Assets/Scenes/ShopShrine.unity,ShopShrine,Yes,No,No,-1,-1,4.6,0,0
Assets/Scenes/Stage_0_0.unity,Stage_0_0,Yes,Yes,Yes,1,1,180.3,8,12
Assets/Scenes/Stage_1_1.unity,Stage_1_1,Yes,Yes,Yes,3,3,310.8,12,15
Assets/Scenes/Stage_1_2.unity,Stage_1_2,Yes,Yes,Yes,4,4,357.3,14,17
Assets/Scenes/Stage_1_Boss_RedOni.unity,Stage_1_Boss_RedOni,Yes,Yes,Yes,9,9,102.8,12,17
Assets/Scenes/Stage_1_Route_Prototype.unity,Stage_1_Route_Prototype,Yes,Yes,Yes,10,10,923.7,22,25
Assets/Scenes/StartScene.unity,StartScene,Yes,Yes,Yes,0,0,71.2,21,2
Assets/Scenes/Tutorial_00_BasicMove.unity,Tutorial_00_BasicMove,Yes,Yes,Yes,5,5,83.3,7,10
